Name,PI,Researcher
Laura Castillo-Martinez,,2606
Matthew J Rognlie,,"1181, 730"
Nancy A Hammond,,"343, 293"
Esther Velasquez,,3019
Chiara Maggi,,2306
Antoinette Schoar,"54, 308",
Yao Zeng,,1185
Rosemary T Hyson,,2951
Evan K Rose,2034,
Trang P Ha,,"1586, 1380"
Johannes Norling,,869
William H Carter,342,
Pilar Gonalons,2488,
Juan Carlos Suarez Serrato,,"1667, 2528, 2998"
Frank Heiland,,2951
Nicole A Gandre,,2835
Cameron W Healy,3012,1518
Yuheng Ding,,2296
Christopher B Barrett,2913,
Shelby R Buckman,,1694
Arnab K Basu,,1310
Benjamin Feigenberg,,2793
Jorge Jaumandreu Balanzo,,2585
Seema G Nayak,,2817
David Silver,,"1105, 932"
Matthew Tarduno,,"1284, 1406"
Reiko M Laski,,2441
Lucas Taulbee,,2956
Timothy Dore,"900, 2801",881
Denise R Bell,,1746
Nicolas Ziebarth,,"1967, 1422"
Bin Wei,2878,
Lancelot Charles Phi Henry de Frahan,,908
Robert Belli,1583,
Namrata Narain,,"1571, 1352"
Benjamin B Schoefer,,819
Siyu Liu,2829,
Katie R Genadek,,"2548, 1743, 2239, 2424, 2228, 2343"
Jung Ho Choi,1668,
Zi Wang,,1109
Rhea G Acuna,,2136
John M Van Reenen,,"1694, 1684, 2389"
Jordan B Marvakov,,607
Sandra E Black,,204
Toshihiko Mukoyama,2319,
Matthew Marx,,1182
Kristin - Mccue,,"1467, 1151"
Edith Laget,,987
Michael Siemer,1579,
Jennifer M Walsh,,1571
Erik Vickstrom,,2357
Soo Jin Kim,,1255
Kao-lee Liaw,,665
John J Stevens,514,
Megumi Tanabe,,1994
David J Deming,2751,
Muhammet Fatih Guvenen,,1694
Liz Wachs,,2173
Andrew Weaver,,1561
Marco Allain,,2717
Joseph P Janko,,2280
Patricia Angle,,1069
Jason Hall,,2012
Jake Anderson,,2034
Philip F Cooper,,66
Charles Pfander,,"2157, 1802, 1846"
Yotam Shem-Tov,,2034
Nitya Pandalai Nayar,2439,"1298, 834, 784, 1057"
Olesya N Baker,,369
Alexander C Prairie,,1528
Haoyang Liu,,2775
Jiaze Li,,"1298, 1686, 2315, 987"
Jeanne S Ringel,,312
Roni Kisin,,786
Carlos F Avenancio,,"1611, 2416"
Wei Huang,,"786, 1185"
Xiaonan Ma,2799,
Sheela Kennedy,,620
Shan Ge,,1400
Lucas Zavala,,1518
Christopher Vickers,1967,2489
Ian M Schmutte,1085,
Larisa C Cioaca,,2185
Michal Zator,,1572
Lance Freeman,1329,
Nikhil Rao,2957,2295
"Patrick F Akey, Jr",,2128
Mattan C Alalouf,,1743
Chen Liang,,2176
Peter Hepburn,,2175
Benjamin A Campbell,845,
Mingye Yin,,2744
Vincent Thivierge,2581,
William Lincoln,,"1298, 784"
Kevin Shih,1582,2104
Katie M Jajtner Gottfredsen,,2338
Jagadeesh M Sivadasan,"580, 2103","784, 880, 444, 815, 682"
Ross Cole,,2766
Lisa K Bates,907,
Ethan Hossain,,2075
Joshua Witter,,1888
Felix Tintelnot,,"1179, 1975"
Yoonsoo Lee,289,674
Xiaoyong Zheng,811,
Michiru Sakane,,623
Scott Langford,,2782
Ishaana Talesara,,1684
James C Davis,,"189, 1571, 786, 3062, 2221, 607"
Colin McMillan,,2173
Grace C Ozor,,2631
Kevin Mullally,1987,
Paul A Parker,,1071
Serdar Aldatmaz,,662
Nora Schwaller,,"2285, 2556"
Melissa Chow,,1975
Kyle J Caswell,1510,
Jeffrey Waddoups,,2497
Dan Vedensky,,1071
Andrew Hanks,,2383
Tanvi Jindal,,"2606, 2306"
Andrea Stella,"2427, 1287",
Paul - Metaxatos,,588
Elise Marifian,2465,
Michael A Stanko,566,
Chuhang Yin,,1109
Moritz C Fliescher,,751
Benjamin J Lipsius,,1686
Kyle L Handley,"1686, 1057, 987",1670
Victoria Zhang,,2176
David J Ravenscraft,,668
Judith K Hellerstein,9,
Adrien Matray,,2732
Christopher J Kurz,1237,264
Louis J Maiden,,"2396, 1571, 2766"
E. Lance Howe,,1211
Christopher R Stewart,2794,
Roger Renteria,,2717
Nicholas A Bloom,"1694, 712, 2109","1057, 1670, 1632, 2406, 1652"
Lauren Cohen,819,
Cody F Cook,,1694
Sarena F Goodman,,441
Abraham Flaxman,2529,
Xu Zhang,,880
Lei Li,,1091
Carl C Kontz,,2732
Max Schiller-Risch,,"758, 658"
Jie Yang,,493
Rosa L Matzkin,,406
Lehuyen Pham,,1994
Arthur R Wickard,,1684
Benjamin W Pugsley,"1731, 908",
William H Frey,"665, 412",664
Mar Reguant,,1158
Daniel A Ackerberg,,420
Steven W Ho,,668
Angela Bruns,,1727
Harun Alp,2199,
Jennifer L Van Hook,2357,1748
Lara P Loewenstein,,"1180, 730"
Claire Altman,2307,
Bharat K Chandar,3042,2109
Senan Hogan-Hennessy,,2913
Daniel B Jones,,2416
Frederick Purifoy,,2497
Daniel Tannenbaum,"1877, 1394","2593, 2476"
Rustom D Manouchehri Irani,"1958, 1212",
Timothy L Hamilton,,406
Cian Ruane,,1440
Anita Pena,2054,2283
Benjamin M Marx,1633,1779
Michael A Olabisi,,1686
Jack Liang,2549,"1975, 1916"
Edward Feser,490,
Thomas Hasenzagl,,1917
Evan P Crawford,,1464
Yue Fang,,880
Andrew J Cassey,1027,
Jose D Pacas,,"1459, 797"
Morad Zekhnini,,2234
Amelia A Hawkins,,"802, 2108"
Peter F Graven,,"820, 878"
Jonathan E Schwartz,,70
Ryan H Moss,,1833
Giovanni Righi,,2548
Maya E Donovan,,"1667, 2528, 2998"
Panle J Barwick,,1433
Arkey Barnett,,2295
Ishita Ahmed,,2593
Anant ray D Vyas,,343
John E Anderson,1751,
Anupam Nanda,,83
Nicholas D Mark,,2602
Juliette Weber,,2717
Spencer H Boyum,,2473
Hye Jin Rho,1561,
Rosemary L Batt,1803,
Rebekah L Coley,,2931
Serguey Braguinsky,,2296
Lawrence F Warren,1422,1819
Mark Turner,2858,
Mark J Kutzbach,2417,
Geoffrey A Tate,,"753, 845, 2396, 1589, 881, 2117"
Nicholas Poggioli,,845
Rebecca E Zarutskie,"493, 881","662, 808"
Marek Zapletal,,"580, 674, 880"
Alison Aughinbaugh,,2525
Sungil Kim,,2967
Ariel A Listo Argul,,1191
Guanyu Zhou,,2109
Qingfang Wang,"391, 657",
Ariel J Binder,,"1284, 802"
Marion Carr,,2441
Daniel M Olson,,845
Bria Gresham,,2934
Margaret Yellen,,1684
Aaron B Flaaen,,"1298, 834, 784, 2631, 2407, 2439"
Anil Rupasingha,,"3062, 1208"
Nicholas Scott-Hearn,,2898
Nicola Cetorelli,381,
Erin L Linnenbringer,,287
Amelia Dana,,"2550, 2934"
Jairus Rossi,,"2552, 2657"
Dirk Jenter,,730
Zeb M Burke-Conte,,2529
Jacob Bastian,,869
Joshua H Davidson,2541,
Jonathan E Arnold,,2730
Carlianne Patrick,1275,
Shama Campbell,,863
Tyler J Ludwig,2731,
Victoria Gregory,,"2539, 1819"
Kimberly A Weeden,,2888
Peter R Landry,,623
Eileen Divringi,2061,
Celeste Carruthers,2547,
Brent M Hueth,906,"1119, 2221"
Dominick G Bartelme,,1255
Elizabeth Roth,,"312, 2759"
Min Xie,2452,
Neil R Mehrotra,,"2214, 1189"
Huizi Yu,,2358
Feng Lin,,"2347, 2441, 1440, 2542"
Brian T Melzer,640,
Jesse Linkhorn,,2810
Yupeng Wang,,1356
Jonathan M Davis,,299
Kelsey E Figone,,2548
David A Raglin,,2556
Juan Pantano,,296
Pang-Li Chen,,2638
Kara Jones,,2941
John L Mckeon,,1874
Adrian Hamins-Puertolas,,1237
Adam M Isen,,"786, 2801, 932"
Hong Yu Lai,,2211
Anne Marie Knott,1127,
Heather Graham,,1532
Michael C Lotspeich,2885,"2120, 1320"
Ting Lan,,1298
Jiwon Lee,,2703
Nima A Dahir,,2510
Jing Xue,,"2117, 2858, 1354, 1680"
Victoria Consolvo,,1731
Jan L Youtie,1115,
Nicolas Crouzet,"2214, 1189",
Jose-Antonio Espin-Sanchez,2489,
Earnest Curtis,"1667, 2528, 2998","2173, 1258, 623, 662, 1213"
Elena Patel,2484,2108
Daniel B Sands,,1182
Keith Pennington,,2358
Kyle F Herkenhoff,,"848, 1917, 2511"
Brendan Moore,,2109
Hana T Chmielewski,,2809
Benjamin Gilbert,1947,"2215, 1901"
Zara A Contractor,,1787
Kyle Butts,,1916
Millard J Habegger,,2296
Zaki Dernaoui,,1400
Joshua M Drucker,,490
Kosali I Simon,,66
Canyon Bosler,,2226
Abhay P Aneja,"1611, 2416",
Jeremy Majerovitz,,2539
Jeffrey Wang,,1975
Mitsuru Igami,,815
Ofer Eldar,2498,
Aisulu Munkina,,"1987, 2396"
Mike Mei,,1605
Timothy Hodge,,2661
Rigoberto Lopez,2585,
Cristina Tello-Trillo,,"1572, 1975"
Jessalyn A Nelson,,2793
Maxwell C Rong,,2888
Colleen Heflin,3059,
Katharine Sadowski,2912,
Frank F Limehouse,,406
Jiwon Hwang,,2967
Annette Tower,,2181
Jaclyn K Lee,,2427
Huiyu Li,,"2441, 1440"
Emily R Tisdale,,441
Gang Zhang,,"662, 623, 493, 808"
Cuiping Long,,1169
David B Grusky,2888,2510
Peter Newberry,1892,
Markus Lithell,,"848, 1917, 2511"
Angela VanDerwerken,,802
Patrick J Kehoe,434,
Bryan Hong,"2881, 2656",
Jae Hyeong Lee,,1071
David Neumark,"2693, 1522",2146
Warren B Bailey,,1572
Selale Tuzel,,2838
Joelle H Abramowitz,1727,
An Chee (Angie) . Low,570,
Natarajan N Balasubramanian,444,"880, 815, 2103"
Ernst R Berndt,,607
Justin S Shin,,623
Song Ma,,1572
Lawrence Christiano,,434
Joseph T Jourden,,1572
Matthew S Hall,"1178, 2703",
Ethan Singer,,870
Kevin Todd,,1406
Quan Li,,1449
Nathan Modica,,1703
John Eric Humphries,2476,
Max F Floetotto,,712
Lilei Xu,1185,
Orna K Intrator,589,
Vincent K Fu,29,
Jianqiu Bai,"2396, 1617","2511, 1987, 1473, 848, 1352, 1069"
Jonathan D Fisher,,1125
Regina Werum,2907,
Jim A Levinsohn,"264, 784",378
Christal G Hamilton,,2307
Andrea L Eisfeldt,369,
Vyacheslav Mikhed,3020,
Solita J Jones,,2817
Sean M Mihaljevich,,"908, 1273"
Jingyuan Li,829,
Peter Scobas,,1406
Miao Zhang,,"2838, 1572"
Jeremy Greenwood,,2633
William R Kerr,"1571, 2766, 306, 598","1841, 2396, 305, 1731, 1182, 1352, 1481"
Nathaniel T Aden,,1158
Christopher R Walters,,487
AJ Golio,2689,
Kelly Hewett,2181,
Wenquan Zhang,,"1745, 2517"
Randall K Akee,,994
David Wasser,2564,
Liu A Yang,"1354, 753, 2117","2396, 848, 2858, 845, 1680, 881"
Andrew Barr,1888,
Vladislav Slanchev,,537
David Van Riper,,2228
Wenting Ma,,"2396, 1850, 1589, 881"
Andy Krause,,1115
Frank M Fossen,2936,
Augustine Denteh,2861,1208
Morgan J Foy,,"1956, 2211"
Maya Rossin-Slater,2898,"1284, 932"
Jie He,"2838, 1091",
Leah Brooks,,2550
Jose Holguin-Veras,863,
Krista J Ruffini,,1284
Ariel M Pihl,,1284
Innessa Colaiacovo,,2396
Guangye Cao,,1298
Dan Black,2323,2816
Camille Hillion,,2109
Anne Burton,2200,
Yue Wang,,1354
Gisela Maria Rua,,1237
Nathaniel S Johnson,,"751, 1101, 1182, 1125"
Han Liu,,2517
Audrey Beck,,550
Jason E Devine,"670, 669",
Lori S Bennear,247,
Smith Williams,,2417
Philip Garboden,,2137
Thomas J Holmes,870,
Francie E Streich,,601
Trang T Pham,,2307
Caroline Lee,,2479
Christopher M Levesque,,"1459, 1586"
Jacob S Adenbaum,,"848, 1917"
Charlene R Ramos,,2427
Shan N He,,237
Brian Redding,,"2810, 2552"
Suyeon Jo,,1833
Jan M Eberth,2086,
Dylan K Nelson,2176,
Ziqi Qiao,,1119
Simon Quach,,1175
Xueyun Luo,,2103
Johannes P Dolfen,,1440
Orges Ormanidhi,,994
Michael S Dworsky,,717
Karl D Boulware,,293
Coleman D Drake,,1362
Christopher F Goetz,,1942
Matthias G Kehrig,"761, 2210","434, 1353, 2081"
Adam X Greeney,,514
Glenn Ellison,305,
Angela Pae,,1532
Shai Bernstein,1151,1694
Tammy L Riggs,,1320
Baobao Zhang,,2110
Yue Li,2339,
Fariha Kamal,,"2631, 1027"
Jose A Rodriguez Lopez,,1175
William Hoyt,2956,
Saheel A Chodavadia,,"1731, 1481"
Melanie Tran,,1946
Xin Lu,,808
Jacob A Klerman,312,
Cesare Righi,,828
Katherine T Harback,1335,
Maire T Mullane,,"1571, 2766"
Sara Murray,,406
Owen M Zidar,,2473
Jason R Henderson,413,
Weiting Zhang,,299
Frederick Mencken,,"2120, 1320"
Xin Dai,"2857, 2479",
Jin Woo Chang,,"880, 815, 682"
Zhiqi Zhao,1692,
Charles Williamson,,1942
Emily K Greenman,,1178
Claire A Kovach,,2082
Michael Greenstone,272,
Andrea Atencio De Leon,,"1808, 1527"
Hoang Lan Dinh,,1731
Lingxin X Hao,,2824
Filippo Mezzanotti,1874,
Dione Sunshine Hillygus,,390
Zoey Chopra,,1743
Sendhil Mullainathan,,54
Xiaolan Zhang,,"3039, 2235"
Mine Z Senses,378,1237
Yu Ma,,"1667, 2173"
Zulema Valdez,396,
Antoine N Gervais,,871
Laxman Timilsina,2265,
Sudipta Basu,,2479
Andrew L Garin,1527,"2769, 1255"
Dean A Parker,,2775
Joshua S Louria,,514
David B Richardson,2359,
Zhen Ye,,1589
Evan P Starr,,815
Matthew Hall,,1917
Thomas C Keene,,"1835, 2120, 2875"
Jorg L Spenkuch,1737,
Grant C Graziani,,"1105, 1284"
Matthew Eisenberg,2477,
Dan Ramsey,,177
Marie Wu,,797
Ryan Decker,,1237
James Mildenberger,,1703
Amalia R Miller,,556
Christopher J Malloy,,819
Dan Cao,,2319
Sophia B Moore,,2794
Christian Brostrup-Jensen,,589
Daniel A Bens,503,
Kaiji Chen,,1318
Emily Weisburst,2543,
Daniel Garrett,,1667
Ivan Carrillo-Garcia,,1111
Lena Shi,,1719
Bradley Setzler,2567,
Aneesh Raghunandan,,2129
Michelle Lam,2212,
Ken-Hou Lin,1364,
Vellore Arthi,2523,
Roger D Feldman,,878
Danielle Steelesmith,2408,
Jing Deng,2601,
Erich Denk,,"2735, 1069"
Hye-Jung Yun,,2867
Alexis B Brownell,,1352
Robert J Kurtzman,1381,
Sebastien M Breau,,209
Sharon Belenzon,2185,
Hannah F Rubinton,2539,"1179, 1975, 908"
Ari D Gelbard,,1569
Ronni X Pavan,2674,
Zachary Steckler,,2660
Eric T Chyn,,"784, 2403"
Titan Alon,,"1134, 908"
Ana Lucia Cordova-Cazar,,1583
Gary J Gates,813,
Erica Palmer,1449,
Laura O Taylor,,"406, 423"
Mu-Jeung Yang,1134,1069
Tong Xu,,1318
Vrinda Mittal,,2570
Linli Zhao,,2262
Olga V Smirnova,,796
William Jungerman,,1917
Amy D Cyr,,"3075, 2446, 2484"
Gloriam V Guenzburger,,2817
Austin M Sandler,,2556
Devi Chelluri,,1809
Erik B Johnson,,550
Chi Zhang,,"2838, 1617"
Noriko Amano,1787,
Weiliang Tan,2800,
Connor Cole,,1284
Christopher W Taylor,,906
Dyanne A Vaught,,"1298, 1515"
Meng Liu,,1069
Oliver Shih,,2387
Lauren E spits,,2631
Paige Stevenson,,"2606, 2306"
Daniel Feenberg,763,
Keith E Wardrip,,2061
Yue Qiu,,"2857, 2479"
Owen Thompson-Ferguson,,1849
Javier - Miranda,333,1027
Spencer B Bowdle,,"2631, 2439"
JC T Makolo,,"1352, 1180, 730"
Ryan C Lewis,1873,
John D Iceland,2082,
Nir Jaimovich,,712
Adriana Kugler,1812,
Christopher E Robertson,,1459
David Dam,,1883
Xiangping Liu,,406
Victor A Shlychkov,649,"83, 429"
Linda Zhao,2167,
Jessica Min,2989,
Hanh T Le,,1212
Jingyi Cui,,2193
Caitlin M Kearns,,401
Jonathan Bradley,,1071
Razvan Vlaicu,2962,
Dawoon Kim,,"1572, 808"
Peter E Frase,,532
Eunhee Lee,,2631
Kevin Kniffin,2383,
Xiaomei Sui,,2685
Nicolas Morales Garcia,2104,1582
Pablo Fajgelbaum,,1276
Andrew Smith,,2985
Raeven F Chandler,,1345
Camila Bratten,,1743
Adriana Troiano,,2214
Kathryn C McDonald,,2527
Ralph A Mastromonaco,,406
Chang-Tai Hsieh,"2441, 1440",
Mark H Lang,,1532
David S Lee,146,
Troup Howard,2605,
Justin Denney,2284,
Nuno Limao,,987
Jeronimo R Carballo,1846,987
Mai T Nguyen,,937
Georgios Magkotsios,,848
Devesh R Raval,,1014
Christian Delgado de Jesus,,623
Heonyeong Lee,,2711
Sebastian Heise,"1883, 2527, 1273","1298, 2407, 871"
Lucy M Goodhart,831,
Ferdinando Monte,,1832
Jorge A Guzman,,1499
Ryan Shyu,,"1151, 1652"
Arline T Geronimus,287,
Jamein P Cunningham,,869
Daniel E Keniston,,787
James M Reeves,,"2854, 2957"
Rema N Hanna,,272
Fiona L Sequeira,,1668
Francis Wong,,2605
Pinar Celikkol Geylani,"2712, 284, 859",
Rafeya Raquib,,3081
Damian R Thomas,,1528
Jeffrey A Tamburello,,1320
Karin Wu,,"1849, 2521"
Alvin J Silk,607,
Alexander J Ramiller,,2137
Clarissa A Yeap,365,
Brenden D Timpe,2593,"2548, 1284, 1854, 2108, 802"
Jonathan Cohn,,1497
David M Blau,539,
Orlando A Garcia,,2407
Brooks M Depro,,796
William M Rafey,,2211
Jihoon Sung,,1440
Michael Peress,,297
Janice C Probst,,774
Konhee Chang,2669,
Saimun Habib,,2157
Clemens A Aeppli,2868,
Sheah M Deilami,,2309
Yue M Zhou,834,580
Rachel Schuh,,"1694, 2109"
John M Coglianese,,1527
Maria Rosales Rueda,,2040
Sreyas Mahadevan,,2441
Benjamin C King,,845
Paul H Mohnen,,2548
Matthew Simpson,,1071
Philip S Doctor,,"369, 343, 410"
Chang Liu,2685,
Yizhao N Yang,452,
John R Logan,2517,1745
Nicole M Dalzell,,1385
John Cantrell,,2359
Oren Ziv,"1890, 1255",1069
Ruoniu Wang,,2137
Regina Baker,,2972
Nicholas Intscher,,1485
Carlos A Gonzalez-Calderon,,863
Catherine A Fitch,620,
Duan Zhang,,2947
Richard Thakor,2715,
Luke Petach,,2054
Jesse M Rothstein,2835,
Junia Howell,,2080
Brian P Greaney,,"1811, 1286"
Chaewon Baek,,"1298, 2439"
Sarah Nunez-von Bargen,,2176
Harrison Wheeler,,908
Matthew Sveum,1227,2194
Xiaoshuang Luo,,2534
Carl Vieregger,,1127
Emily Leslie,,2947
Pinelopi Goldberg,,1286
German Bet,1410,
Coenraad Pinkse,2222,
Tony E Smith,,1988
Sean M Moore,,413
Danny Kurban,2391,
Vanessa A Ntungwanayo,,2548
Rebecca Diamond,,3042
Ben Ranish,,2427
Sophia M Croome,,1572
Kanika Kapur,,255
Logan T Lewis,,"2427, 1287"
Megan J Benetsky,,665
Carlos Rangel,,2081
Alexander A Houtz,,1731
Rachel M Atkins,,2105
Cornell J Krizan,,1109
Kuan-Yi Chen,,482
Sabrina Nasir,2522,
Austin J Lentsch,,1684
Qiping Xu,1850,
Seung Hyeong Lee,,"2838, 1572"
Julia Behrman,,2602
Kristine M Witkowski,1157,
Marianne Wanamaker,,2547
Kendal Lowrey,,2357
Yongsuk Lee,,589
James R Tybout,1109,
Shawn Ratcliff,,2907
David E Simon,,1481
Gwynne Evans-Lomayesva,,2343
Jonathan I Dingel,,"1179, 1975"
William D Lastrapes,,1085
Belen Villalonga,246,
Nicola Pierri,,1057
Chris Fowler,,"1070, 2228"
Antje Kirchner,,1583
Umberto Muratori,,1812
Weiting Miao,,"1109, 2606, 1667, 2210, 2998"
Kevin Caves,420,
Garrett Anstreicher,2413,"1284, 2508, 1849"
Marina J Chabot,,2817
Jungwon A Son,,2296
Leslie Root,,2934
Marina Gindelsky,1403,
Rachel Meltzer,2550,
In Song Kim,,1485
Ana M Herrera,2262,
Daniel S Ober-Reynolds,,1518
Tasaneeya Viratyosin,,2109
Lucas S Moyon,,2427
Benjamin Rosa,2075,
Jacqueline MacDonald Gibson,2809,
German Gutierrez,,2431
Anna E Wentz,,1284
Ryan Hanson,,2262
Janjala Chirakijja,1784,
Brendan M Price,,"1181, 1684"
Siyuan Liu,,"1181, 1684"
Erika Iisa,,2817
Hunt V Allcott,787,
Zeynep T Suzer Gurtekin,1064,
Brian T Lucking,,"1632, 1694, 1057"
Min Jeong Kim,,1743
Amy Lim,,"2697, 2278, 2181, 2547, 2941, 2861"
Christopher Timmins,,406
Eric Grodsky,2239,
